date,close,volume,open,high,low,symbol
2020-05-08,2379.61,3211228,2372.14,2387.2449,2357.0,AMZN
2020-05-07,2367.61,3396411,2374.78,2376.0,2343.11,AMZN
2020-05-06,2351.26,3117814,2329.44,2357.45,2320.0,AMZN
2020-05-05,2317.8,3242496,2340.0,2351.0,2307.1251,AMZN
2020-05-04,2315.99,4865926,2256.38,2326.98,2256.38,AMZN
2020-11-03,158.21,8001436,153.22,161.05,151.1,SQ
2020-11-02,155.23,8753566,158.0,161.24,152.1,SQ
2020-10-30,154.88,14948430,166.49,167.3974,152.43,SQ
2020-10-29,169.86,4431756,170.08,172.08,168.11,SQ
2020-10-28,167.13,5420308,166.59,168.9399,164.45,SQ
2020-10-27,171.02,6937558,175.31,176.26,169.26,SQ
2020-10-26,169.89,6489402,175.01,176.86,166.77,SQ
2020-10-23,176.77,4167570,177.5,177.79,173.34,SQ
2020-10-22,175.93,6681642,178.5,181.98,173.61,SQ
2020-10-21,177.82,10477240,183.55,184.74,175.5901,SQ
2020-10-20,185.74,4875972,188.1,189.7,184.33,SQ
2020-10-19,186.96,5454020,188.11,191.3999,185.91,SQ
2020-10-16,186.35,5299708,191.68,192.84,184.7,SQ
2020-10-15,188.6,6818697,182.6,188.68,181.2,SQ
2020-10-14,187.49,6176616,191.59,193.4399,185.11,SQ
2020-10-13,190.47,6399879,186.81,191.36,186.0,SQ
2020-10-12,185.17,7964706,190.68,191.94,184.26,SQ
2020-10-09,187.28,6719664,185.12,188.74,183.73,SQ
2020-10-08,183.5,7133438,183.18,185.3699,181.72,SQ
2020-10-07,180.18,7119275,180.61,182.75,179.02,SQ
2020-10-06,175.34,12543960,180.13,182.24,172.61,SQ
2020-10-05,180.92,16666740,172.43,181.89,171.5,SQ
2020-10-02,169.61,11160160,164.05,171.24,163.8006,SQ
2020-10-01,168.49,6723499,166.14,168.61,164.5801,SQ
2020-09-30,162.55,6561202,164.47,166.19,161.23,SQ
2020-09-29,164.81,12088370,164.0,167.56,163.13,SQ
2020-09-28,160.76,10287140,160.49,164.5,158.23,SQ
2020-09-25,157.72,8782784,153.06,158.98,151.751,SQ
2020-09-24,152.31,13213850,151.01,155.9227,148.0,SQ
2020-09-23,149.59,8866980,155.87,157.98,147.8,SQ
2020-09-22,155.59,11189710,152.82,156.34,148.59,SQ
2020-09-21,151.12,12662660,140.42,151.98,139.3101,SQ
2020-09-18,145.01,8886573,147.37,149.13,141.64,SQ
2020-09-17,145.64,11972190,146.27,147.6899,142.24,SQ
2020-09-16,151.05,10207730,155.2,159.0,149.8801,SQ
2020-09-15,154.5,18549990,146.13,158.5,146.13,SQ
2020-09-14,144.4,7754847,140.07,145.4,138.81,SQ
2020-09-11,137.45,8428436,143.9098,143.9098,134.26,SQ
2020-09-10,141.07,6711455,147.02,148.545,139.82,SQ
2020-09-09,144.21,9463558,145.65,145.65,139.25,SQ
2020-09-08,139.11,10681380,137.01,146.14,136.89,SQ
2020-09-04,146.39,17995160,149.63,152.22,134.0,SQ
2020-09-03,152.86,16421240,157.0,157.23,149.51,SQ
2020-09-02,162.88,11214780,170.6,170.61,158.11,SQ
2020-09-01,166.66,12318670,164.81,170.46,162.0,SQ
2020-08-31,159.56,7630240,157.0,160.7745,156.02,SQ
2020-08-28,155.93,6296358,159.15,159.15,154.06,SQ
2020-08-27,155.61,11617220,156.87,161.5399,155.5,SQ
2020-08-26,153.74,7689908,156.09,158.69,151.73,SQ
2020-08-25,155.0,6429420,151.8,155.74,149.0,SQ
2020-08-24,151.79,8807667,159.0,159.0,150.98,SQ
2020-08-21,155.1,8630546,156.4,159.47,153.12,SQ
2020-08-20,155.86,12428090,150.17,158.1,149.82,SQ
2020-08-19,150.37,6539856,151.22,152.355,148.56,SQ
